Timestamp,Marker_ID,X_meters,Y_meters,Z_meters
16:55:17.610,1,-0.1888,-0.1168,2.8611
16:55:17.640,1,-0.1888,-0.1168,2.8611
16:55:17.676,1,-0.1888,-0.1168,2.8611
16:55:17.706,1,-0.1888,-0.1168,2.8611
16:55:17.744,1,-0.1888,-0.1168,2.8611
16:55:17.875,1,-0.1888,-0.1168,2.8611
16:55:18.041,1,-0.1888,-0.1168,2.8611
16:55:18.078,1,-0.1888,-0.1168,2.8611
16:55:18.108,1,-0.1888,-0.1168,2.8611
16:55:18.141,1,-0.1888,-0.1168,2.8611
16:55:18.173,1,-0.1888,-0.1168,2.8611
16:55:18.375,1,-0.1888,-0.1168,2.8611
16:55:18.411,1,-0.1888,-0.1168,2.8611
16:55:18.975,1,-0.1888,-0.1168,2.8611
16:55:19.143,1,-0.1888,-0.1168,2.8611
16:55:19.176,1,-0.1888,-0.1168,2.8611
16:55:19.242,1,-0.1888,-0.1168,2.8611
16:55:19.276,1,-0.1888,-0.1168,2.8611
16:55:19.343,1,-0.1888,-0.1168,2.8611
16:55:19.375,1,-0.1888,-0.1168,2.8611
16:55:19.408,1,-0.1888,-0.1168,2.8611
16:55:19.439,1,-0.1888,-0.1168,2.8611
16:55:19.474,1,-0.1888,-0.1168,2.8611
16:55:19.507,1,-0.1888,-0.1168,2.8611
16:55:19.541,1,-0.1888,-0.1168,2.8611
16:55:19.574,1,-0.1888,-0.1168,2.8611
16:55:19.608,1,-0.1888,-0.1168,2.8611
16:55:19.645,1,-0.1888,-0.1168,2.8611
16:55:19.743,1,-0.1888,-0.1168,2.8611
16:55:19.774,1,-0.1888,-0.1168,2.8611
16:55:19.808,1,-0.1888,-0.1168,2.8611
16:55:19.842,1,-0.1888,-0.1168,2.8611
16:55:19.877,1,-0.1888,-0.1168,2.8611
16:55:19.947,1,-0.1888,-0.1168,2.8611
16:55:19.974,1,-0.1888,-0.1168,2.8611
16:55:20.008,1,-0.1888,-0.1168,2.8611
16:55:20.414,1,-0.1888,-0.1168,2.8611
16:55:20.443,1,-0.1888,-0.1168,2.8611
16:55:20.479,1,-0.1888,-0.1168,2.8611
16:55:20.513,1,-0.1888,-0.1168,2.8611
16:55:20.577,1,-0.1888,-0.1168,2.8611
16:55:21.011,1,-0.1888,-0.1168,2.8611
16:55:21.043,1,-0.1888,-0.1168,2.8611
16:55:21.177,1,-0.1888,-0.1168,2.8611
16:55:21.243,1,-0.1888,-0.1168,2.8611
16:55:21.351,1,-0.1888,-0.1168,2.8611
16:55:21.544,1,-0.1888,-0.1168,2.8611
16:55:21.978,1,-0.1888,-0.1168,2.8611
16:55:22.012,1,-0.1888,-0.1168,2.8611
16:55:22.044,1,-0.1888,-0.1168,2.8611
16:55:22.079,1,-0.1888,-0.1168,2.8611
16:55:22.110,1,-0.1888,-0.1168,2.8611
16:55:22.147,1,-0.1888,-0.1168,2.8611
